DAY,GAMA_F1,GAMA_F2,GAMA_F3,GAMA_F4,GAMA_F5,GAMA_F6,GAMA_F7,GAMA_F8,GAMA_F9,GAMA_F10,GAMA_F11,GAMA_F12,GAMA_F13,GAMA_F14,GAMA_F15,GAMA_F16,xI_F1,xI_F2,xI_F3,xI_F4,xI_F5,xI_F6,xI_F7,xI_F8,xI_F9,xI_F10,xI_F11,xI_F12,xI_F13,xI_F14,xI_F15,xI_F16,xA_F1,xA_F2,xA_F3,xA_F4,xA_F5,xA_F6,xA_F-,xA_F8,xA_F9,xA_F10,xA_F11,xA_F12,xA_F13,xA_F14,xA_F15,xA_F16,BETA_MATRIX,BETA_MATRIX,BETA_MATRIX,BETA_MATRIX,BETA_MATRIX,BETA_MATRIX,BETA_MATRIX,BETA_MATRIX,BETA_MATRIX,BETA_MATRIX,BETA_MATRIX,BETA_MATRIX,BETA_MATRIX,BETA_MATRIX,BETA_MATRIX,BETA_MATRIX
1.0,0.18126924692201818,0.18126924692201818,0.18126924692201818,0.18126924692201818,0.18126924692201818,0.18126924692201818,0.18126924692201818,0.18126924692201818,0.18126924692201818,0.18126924692201818,0.18126924692201818,0.18126924692201818,0.18126924692201818,0.18126924692201818,0.18126924692201818,0.18126924692201818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06265932596129022,0.0362850606049532,0.020606745758483674,0.012853734079107632,0.02103469438797443,0.03252584061229056,0.03776598168678444,0.03132013170297286,0.0178664446561034,0.010026443680074075,0.010637011970870613,0.008796559014054591,0.005587751126794323,0.003983849435986095,0.0021142036360648816,0.0011514056910535342
1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03541268201146033,0.30045985447295825,0.06490268043123035,0.01870729478747415,0.01225128293756416,0.029853812743812148,0.042584349167487795,0.04227423160595117,0.03453504259466417,0.014924856571438138,0.009400708723247494,0.00834237867640329,0.006363090682537134,0.004215731390171757,0.0018510683375224184,0.001338452136490309
1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.019942536150498166,0.12562719278803508,0.5392993396068542,0.06281339768315046,0.027007402907380556,0.024467056538534978,0.035136816552358174,0.0462052006858116,0.052947484139312904,0.02932058126655952,0.015298003981644387,0.007642987636677684,0.0046722671457684025,0.00454382957638795,0.0030722032705836756,0.00220798178891304
1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.018136300802467354,0.048690226357016544,0.3295941503166937,1.07021631841194,0.16701928826249393,0.08346975275195653,0.06210388025403372,0.07713252213599595,0.08720928858970119,0.07869452259736796,0.04049919453851416,0.016752859453663393,0.007431249847683141,0.004643808844935341,0.002433981720577058,0.001630181177103849
1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.049088885013628306,0.04531956425560149,0.06586467528985811,0.4544435854078986,0.6424319216242864,0.2887291376021402,0.17675854840017022,0.14254156370528753,0.1184387277800541,0.13277798486179304,0.08829707508746291,0.046455507359644495,0.014902719323636765,0.005802207316989843,0.005527873200214145,0.004194672164372791
1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15972539975511496,0.10276813108017256,0.06848886993616224,0.24257912606443166,0.5514003035387094,0.7827264379403933,0.42420422196677426,0.301901523439767,0.23697823212749008,0.19004190937702067,0.17374982005950693,0.09203890208711331,0.03511058793222468,0.011977864778794119,0.0050390551105496595,0.004077562721894478
1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.23148939297836799,0.35270021692170256,0.2854967232129452,0.1848816471289402,0.3538595368239295,0.5764644380062861,0.7861967189181281,0.5243983465715983,0.37523094368241866,0.2703717098249591,0.199661380340007,0.13611252947932764,0.062238539871106474,0.022855165552186266,0.010990868181997234,0.008426573449795667
1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.27265862256383994,0.47428511918480876,0.4138054307282417,0.3303672208157372,0.3073891921414721,0.546862086909672,0.6631845886212265,0.9258705923791217,0.6554654369555926,0.397875070592501,0.2667686356974852,0.140759920343349,0.08153429251138265,0.04686477546529299,0.023615438060293235,0.008320275082331751
1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2305428028226954,0.4551368025563498,0.5844330491844247,0.6393903048840485,0.47893926370112294,0.5995141683095369,0.7584316894622404,0.8067803159943456,1.0380239824304602,0.6346113576336764,0.41426078239040226,0.14756133786739983,0.0863365744948437,0.04814650671837938,0.027450316575475746,0.012955772980714595
1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1859583387058333,0.43131708288350895,0.5309879832401319,1.0101667347146446,0.565235157313154,0.6053295618955028,0.7004167171469482,0.768230221758931,0.7682426182659855,0.8672954879222843,0.49964598485152334,0.2204884048258035,0.07972145076439716,0.03728910021664159,0.030428483123458902,0.028597273637577414
1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.26567410776640193,0.5128807159305375,0.7537182072711786,0.947004850472518,0.7329340789397875,0.9029545458448175,0.7868364495371682,0.7197503488648815,0.902315643192997,0.9098171605031744,0.8131257619802034,0.41262450676641566,0.1344867712439203,0.04976941590489371,0.03411208326020563,0.0328923803259543
1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5953387492019577,0.8154082028635324,0.713416153719221,0.8628248006047048,0.6958641730366562,1.0609730711919283,1.0617796676807807,0.768618804679098,0.7893937332182325,0.6577401034843219,0.7205402463971626,0.7011750272597007,0.28068039099239456,0.11935814920807569,0.04772263878079365,0.03787764027648823
1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8696036273516946,0.875822210975747,0.6276407827065518,0.7771764530356452,0.6519099854701652,0.9229607902027422,1.0392223735396695,1.0378850040327094,0.751246854331723,0.5808655183912254,0.547269144707994,0.6006810724415953,0.6122204983174281,0.2920504226899997,0.13032369105812205,0.04479682118220621
1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0570529221506564,1.6073657303848028,1.3251335403966669,0.7336378503402361,0.8087407881903353,1.0210709808126082,1.4646890585494923,1.496599338647011,1.2286439100785453,0.603837713853491,0.6017661173483283,0.7212495466807184,0.6538003258393134,0.9266946758901892,0.30411808116590805,0.10918086706367125
1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6328499295110684,1.8488107318568978,1.641133915639632,1.510287749782645,0.5725352695237649,1.0320125144097216,0.934930294659728,1.6134778452824392,1.6019496558395194,1.2541442255022248,0.9227937939970565,0.6882004523087132,0.9352237153657259,0.8243444931306028,1.0010657595749965,0.4158165668054147
1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7412070919290459,1.0411402528280538,1.5059283247797972,1.2756370087136362,0.42696814339507094,0.42938556317808485,0.5895610951242148,0.923908759340296,0.9795139380924097,0.9166665109056954,0.8633098392080378,0.46282061058801993,0.251888130129439,0.3946974361929384,0.26789842746818404,0.3022952801480305
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100.0,0.18126924692201818,0.18126924692201818,0.18126924692201818,0.18126924692201818,0.18126924692201818,0.18126924692201818,0.18126924692201818,0.18126924692201818,0.18126924692201818,0.18126924692201818,0.18126924692201818,0.18126924692201818,0.18126924692201818,0.18126924692201818,0.18126924692201818,0.18126924692201818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0392588161912777,0.0337233398236597,0.01984661423868612,0.011213597857147374,0.018651856132309345,0.028472657952242547,0.032924858201750964,0.0288149555970487,0.015388823256899397,0.007135831803799996,0.007536629944637434,0.004275742555542292,0.0028939132484821573,0.0013798689516707477,0.0004980550156588473,0.000604995140043303
100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.028397760645984763,0.07851359645449779,0.04356255375707266,0.015953420631052546,0.00806168949706686,0.022683709195003638,0.03672823816289642,0.03787484890182465,0.030100772402428068,0.011875629428976105,0.0062977210250699574,0.004619652677010733,0.00292900838171221,0.0016213621101181675,0.0007062421233852608,0.0006565988793620265
100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.020728169881753813,0.06276811722852202,0.17469565669373865,0.046414731383117386,0.016467680082059337,0.013713617280643907,0.02530710438490247,0.04018463970493312,0.046608289170285,0.023976007760683316,0.010892049713124342,0.0031507420119948545,0.001973288082173656,0.0020274197220074377,0.001459802704736254,0.0008821246071514637
100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01883626832508916,0.03821317991618817,0.11712687650388531,0.3105651845786039,0.09668798275702134,0.04504453921875058,0.03236116416403907,0.051799039296594025,0.0688856247101928,0.06614874816282405,0.03582940733139504,0.008890101288503295,0.004032273897947353,0.0024915689415495584,0.0012218926754232983,0.0010061744793139753
100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.045034037570473445,0.03450330185766891,0.04825270121128154,0.24083573100662006,0.4107816547991418,0.19074812802901353,0.10915820326369685,0.0856410698974133,0.07869979345574354,0.09927562978349523,0.06704955088922428,0.019024940633152028,0.005119259140380803,0.0016376672591794277,0.0013620907814843723,0.0013133903586792107
100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15177587804590081,0.07373677105175747,0.04698584116175884,0.13988066728050993,0.3365552288027184,0.5285928627658084,0.2764284993743169,0.1833574795449865,0.1411493552997579,0.1212583439448458,0.12549685381966635,0.035838895564345184,0.016633031542097384,0.0052849469629435465,0.0011168800456312462,0.0022679273552439505
100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2202718627996979,0.25007290197522153,0.1875321500236606,0.09720490126764852,0.2227343208725838,0.3737346652440798,0.5452458216827725,0.3398487321934808,0.23045608232737366,0.1637082284052393,0.12561174021574698,0.035182107718436745,0.02818466382642817,0.0074470747562657685,0.003805968968050963,0.0023987125509852326
100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25750134378667977,0.3937876436582472,0.34872043030519906,0.23940529018686896,0.19328295609067347,0.33191811794066906,0.41793854046168427,0.6502819991135955,0.41271355720079766,0.24451137191664263,0.16714343517476196,0.023232833905184123,0.027868567057918826,0.01761101276953413,0.0076915035723989465,0.0026925660469634205
100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2206393490309279,0.397236807986805,0.507353739006157,0.40578430264356885,0.32600420088956394,0.3696691465326887,0.47868955307681416,0.5220560332418582,0.7137717799368621,0.41082381540068014,0.2562458609221365,0.017645045939605326,0.02584840442096785,0.024085847703096883,0.009792471585681103,0.006557711415954909
100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15067426961224734,0.3006126188833668,0.4348754031640162,0.6101237255855703,0.45223579204753217,0.3950528628157445,0.41810717016329657,0.4829757354029184,0.4951397605172947,0.6358324593867135,0.3334730087131851,0.040422377995469744,0.019708530443074208,0.013049168326140694,0.011051511294502651,0.016005137506021293
100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.26056426456459314,0.2560611533333201,0.41633843066964665,0.5311637652163359,0.5861753579306511,0.6372042873965866,0.5048195186292772,0.4432400709847809,0.5624872047488496,0.57800734985835,0.5958609215891131,0.12407168036610759,0.0356994570242084,0.013576859011746373,0.012099055721750782,0.0208799068917481
100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5300217785460216,0.5305692826451598,0.34582604275208745,0.4413298167676181,0.38490357692091365,0.4631165314522328,0.3812171209938161,0.17158811750249156,0.12048513707633779,0.18690395645035915,0.2340123625761935,0.33322092058025865,0.12323619613233215,0.05601725949305514,0.012629124286581373,0.021957023774698305
100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8366258999994212,0.7911918348298126,0.5084007697993282,0.4843019693901994,0.35076857542421686,0.45711161159556035,0.5422576517733435,0.44005169401437877,0.23805796189509795,0.14040225969722653,0.20702117370030346,0.255994584897271,0.397505154354613,0.1445491985135347,0.03856804108313348,0.010007278540670666
100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.051803577891822,1.5336073105217833,1.3140315549294728,0.6900043642559548,0.550418144617334,0.5995988140339987,0.9373362499415245,1.118684358313371,0.8726923966477013,0.2977643950205934,0.303018145065121,0.36081179961134985,0.3412597112778885,0.6648501346309025,0.15171285537243473,0.039058217250702625
100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.643149835164927,1.906393174841312,1.5979069000666402,1.2558278234027942,0.2892487743947795,0.6416034474408421,0.5327079281146704,1.1277275720228306,1.0446217124150743,0.8159036779568231,0.5101705183396024,0.29807162863973163,0.40748449013547755,0.3484087388343146,0.6151130141875305,0.22555816711218266
100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7670967321940286,1.0349996175307354,1.5636707278771897,1.2984230628010474,0.3630145591099093,0.31116430778398535,0.3866316024049981,0.8281145624382197,0.9069859607509209,0.8119882618710391,0.8159555713713577,0.37718542302920577,0.15751523583080093,0.2764051645754939,0.165979707114068,0.25457965390787807
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
300.0,0.18126924692201818,0.18126924692201818,0.18126924692201818,0.18126924692201818,0.18126924692201818,0.18126924692201818,0.18126924692201818,0.18126924692201818,0.18126924692201818,0.18126924692201818,0.18126924692201818,0.18126924692201818,0.18126924692201818,0.18126924692201818,0.18126924692201818,0.18126924692201818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0392588161912777,0.0337233398236597,0.01984661423868612,0.011213597857147374,0.018651856132309345,0.028472657952242547,0.032924858201750964,0.0288149555970487,0.015388823256899397,0.007135831803799996,0.007536629944637434,0.004275742555542292,0.0028939132484821573,0.0013798689516707477,0.0004980550156588473,0.000604995140043303
300.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.028397760645984763,0.07851359645449779,0.04356255375707266,0.015953420631052546,0.00806168949706686,0.022683709195003638,0.03672823816289642,0.03787484890182465,0.030100772402428068,0.011875629428976105,0.0062977210250699574,0.004619652677010733,0.00292900838171221,0.0016213621101181675,0.0007062421233852608,0.0006565988793620265
300.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.020728169881753813,0.06276811722852202,0.17469565669373865,0.046414731383117386,0.016467680082059337,0.013713617280643907,0.02530710438490247,0.04018463970493312,0.046608289170285,0.023976007760683316,0.010892049713124342,0.0031507420119948545,0.001973288082173656,0.0020274197220074377,0.001459802704736254,0.0008821246071514637
300.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01883626832508916,0.03821317991618817,0.11712687650388531,0.3105651845786039,0.09668798275702134,0.04504453921875058,0.03236116416403907,0.051799039296594025,0.0688856247101928,0.06614874816282405,0.03582940733139504,0.008890101288503295,0.004032273897947353,0.0024915689415495584,0.0012218926754232983,0.0010061744793139753
300.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.045034037570473445,0.03450330185766891,0.04825270121128154,0.24083573100662006,0.4107816547991418,0.19074812802901353,0.10915820326369685,0.0856410698974133,0.07869979345574354,0.09927562978349523,0.06704955088922428,0.019024940633152028,0.005119259140380803,0.0016376672591794277,0.0013620907814843723,0.0013133903586792107
300.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15177587804590081,0.07373677105175747,0.04698584116175884,0.13988066728050993,0.3365552288027184,0.5285928627658084,0.2764284993743169,0.1833574795449865,0.1411493552997579,0.1212583439448458,0.12549685381966635,0.035838895564345184,0.016633031542097384,0.0052849469629435465,0.0011168800456312462,0.0022679273552439505
300.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2202718627996979,0.25007290197522153,0.1875321500236606,0.09720490126764852,0.2227343208725838,0.3737346652440798,0.5452458216827725,0.3398487321934808,0.23045608232737366,0.1637082284052393,0.12561174021574698,0.035182107718436745,0.02818466382642817,0.0074470747562657685,0.003805968968050963,0.0023987125509852326
300.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25750134378667977,0.3937876436582472,0.34872043030519906,0.23940529018686896,0.19328295609067347,0.33191811794066906,0.41793854046168427,0.6502819991135955,0.41271355720079766,0.24451137191664263,0.16714343517476196,0.023232833905184123,0.027868567057918826,0.01761101276953413,0.0076915035723989465,0.0026925660469634205
300.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2206393490309279,0.397236807986805,0.507353739006157,0.40578430264356885,0.32600420088956394,0.3696691465326887,0.47868955307681416,0.5220560332418582,0.7137717799368621,0.41082381540068014,0.2562458609221365,0.017645045939605326,0.02584840442096785,0.024085847703096883,0.009792471585681103,0.006557711415954909
300.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15067426961224734,0.3006126188833668,0.4348754031640162,0.6101237255855703,0.45223579204753217,0.3950528628157445,0.41810717016329657,0.4829757354029184,0.4951397605172947,0.6358324593867135,0.3334730087131851,0.040422377995469744,0.019708530443074208,0.013049168326140694,0.011051511294502651,0.016005137506021293
300.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.26056426456459314,0.2560611533333201,0.41633843066964665,0.5311637652163359,0.5861753579306511,0.6372042873965866,0.5048195186292772,0.4432400709847809,0.5624872047488496,0.57800734985835,0.5958609215891131,0.12407168036610759,0.0356994570242084,0.013576859011746373,0.012099055721750782,0.0208799068917481
300.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5300217785460216,0.5305692826451598,0.34582604275208745,0.4413298167676181,0.38490357692091365,0.4631165314522328,0.3812171209938161,0.17158811750249156,0.12048513707633779,0.18690395645035915,0.2340123625761935,0.33322092058025865,0.12323619613233215,0.05601725949305514,0.012629124286581373,0.021957023774698305
300.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8366258999994212,0.7911918348298126,0.5084007697993282,0.4843019693901994,0.35076857542421686,0.45711161159556035,0.5422576517733435,0.44005169401437877,0.23805796189509795,0.14040225969722653,0.20702117370030346,0.255994584897271,0.397505154354613,0.1445491985135347,0.03856804108313348,0.010007278540670666
300.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.051803577891822,1.5336073105217833,1.3140315549294728,0.6900043642559548,0.550418144617334,0.5995988140339987,0.9373362499415245,1.118684358313371,0.8726923966477013,0.2977643950205934,0.303018145065121,0.36081179961134985,0.3412597112778885,0.6648501346309025,0.15171285537243473,0.039058217250702625
300.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.643149835164927,1.906393174841312,1.5979069000666402,1.2558278234027942,0.2892487743947795,0.6416034474408421,0.5327079281146704,1.1277275720228306,1.0446217124150743,0.8159036779568231,0.5101705183396024,0.29807162863973163,0.40748449013547755,0.3484087388343146,0.6151130141875305,0.22555816711218266
